Incumbent,Party,Candidate Name,Percentage,State Code,District,Vote,State
incumbent,Republican,Carl,84.2%,AL,1st,"139,854",Alabama 
/,Libertarian Party,Remrey,15.8%,AL,1st,"26,197",Alabama 
incumbent,Republican,Moore,69.2%,AL,2nd,"137,193",Alabama 
/,Democratic,Harvey-Hall,29.1%,AL,2nd,"57,800",Alabama 
/,Libertarian Party,Realz,1.7%,AL,2nd,"3,380",Alabama 
incumbent,Republican,Rogers,71.3%,AL,3rd,"135,448",Alabama 
/,Democratic,Veasey,25.1%,AL,3rd,"47,770",Alabama 
/,/,Bell,2.0%,AL,3rd,"3,826",Alabama 
/,Libertarian Party,Casson,1.6%,AL,3rd,"3,027",Alabama 
incumbent,Republican,Aderholt,84.2%,AL,4th,"164,371",Alabama 
/,Democratic,Neighbors,13.6%,AL,4th,"26,628",Alabama 
/,Libertarian Party,Cochran,2.2%,AL,4th,"4,294",Alabama 
incumbent,Republican,Strong,67.2%,AL,5th,"141,988",Alabama 
/,Democratic,Warner-Stanton,29.6%,AL,5th,"62,466",Alabama 
/,Libertarian Party,Greer,3.2%,AL,5th,"6,740",Alabama 
incumbent,Republican,Palmer,84.7%,AL,6th,"154,058",Alabama 
/,Libertarian Party,Chieffo,15.3%,AL,6th,"27,792",Alabama 
incumbent,Democratic,Sewell,63.6%,AL,7th,"123,060",Alabama 
/,Republican,Nichols,34.8%,AL,7th,"67,353",Alabama 
/,Libertarian Party,Goodman,1.7%,AL,7th,"3,207",Alabama 
incumbent,Democratic,Mary Peltola,54.9%,/,/,"136,893",Alaska 
/,Republican,Sarah Palin,45.1%,/,/,"112,255",Alaska 
/,Republican,Nick Begich,0.0%,/,/,0,Alaska 
incumbent,Republican,Schweikert,50.4%,01,1st,"182,336",Arizona 
/,Democratic,Hodge,49.6%,01,1st,"179,141",Arizona 
incumbent,Republican,Crane,53.9%,01,2nd,"174,169",Arizona 
/,Democratic,O'Halleran,46.1%,01,2nd,"149,150",Arizona 
incumbent,Democratic,Gallego,77.0%,01,3rd,"108,599",Arizona 
/,Republican,Zink,23.0%,01,3rd,"32,475",Arizona 
incumbent,Democratic,Stanton,56.1%,01,4th,"148,941",Arizona 
/,Republican,Cooper,43.9%,01,4th,"116,521",Arizona 
incumbent,Republican,Biggs,56.7%,01,5th,"182,464",Arizona 
/,Democratic,Ramos,37.4%,01,5th,"120,243",Arizona 
/,Ind.,Smith,5.9%,01,5th,"18,851",Arizona 
incumbent,Republican,Ciscomani,50.7%,01,6th,"177,201",Arizona 
/,Democratic,Engel,49.3%,01,6th,"171,969",Arizona 
incumbent,Democratic,Grijalva,64.5%,01,7th,"126,418",Arizona 
/,Republican,Pozzolo,35.5%,01,7th,"69,444",Arizona 
incumbent,Republican,Lesko,0,01,8th,0,Arizona 
incumbent,Republican,Gosar,0,01,9th,0,Arizona 
incumbent,Republican,Crawford,73.8%,AR,1st,"152,933",Arkansas 
/,Democratic,Hodges,26.2%,AR,1st,"54,240",Arkansas 
incumbent,Republican,Hill,60.1%,AR,2nd,"147,700",Arkansas 
/,Democratic,Hathaway,35.2%,AR,2nd,"86,553",Arkansas 
/,Libertarian Party,White,4.7%,AR,2nd,"11,564",Arkansas 
incumbent,Republican,Womack,63.7%,AR,3rd,"142,270",Arkansas 
/,Democratic,Mallett-Hays,32.9%,AR,3rd,"73,446",Arkansas 
/,Libertarian Party,Kalagias,3.4%,AR,3rd,"7,637",Arkansas 
incumbent,Republican,Westerman,71.0%,AR,4th,"153,694",Arkansas 
/,Democratic,White,26.2%,AR,4th,"56,661",Arkansas 
/,Libertarian Party,Maxwell,2.8%,AR,4th,"6,087",Arkansas 
incumbent,Republican,LaMalfa,62.1%,02,1st,"152,839",California 
/,Democratic,Steiner,37.9%,02,1st,"93,386",California 
incumbent,Democratic,Huffman,74.4%,02,2nd,"229,720",California 
/,Republican,Brower,25.6%,02,2nd,"79,029",California 
incumbent,Republican,Kiley,53.6%,02,3rd,"181,438",California 
/,Democratic,Jones,46.4%,02,3rd,"156,761",California 
incumbent,Democratic,Thompson,67.8%,02,4th,"176,900",California 
/,Republican,Brock,32.2%,02,4th,"84,007",California 
incumbent,Republican,McClintock,61.3%,02,5th,"173,524",California 
/,Democratic,Barkley,38.7%,02,5th,"109,506",California 
incumbent,Democratic,Bera,55.9%,02,6th,"121,058",California 
/,Republican,Hamilton,44.1%,02,6th,"95,325",California 
incumbent,Democratic,Matsui,68.3%,02,7th,"150,618",California 
/,Republican,Semenenko,31.7%,02,7th,"70,033",California 
incumbent,Democratic,Garamendi,75.7%,02,8th,"145,501",California 
/,Republican,Recile,24.3%,02,8th,"46,634",California 
incumbent,Democratic,Harder,54.8%,02,9th,"95,598",California 
/,Republican,Patti,45.2%,02,9th,"78,802",California 
incumbent,Democratic,DeSaulnier,78.9%,02,10th,"198,415",California 
/,Green Party,Kerr,21.1%,02,10th,"52,965",California 
incumbent,Democratic,Pelosi,84.0%,02,11th,"220,848",California 
/,Republican,Dennis,16.0%,02,11th,"42,217",California 
incumbent,Democratic,Lee,90.5%,02,12th,"217,110",California 
/,Republican,Slauson,9.5%,02,12th,"22,859",California 
incumbent,Republican,Duarte,50.2%,02,13th,"67,060",California 
/,Democratic,Gray,49.8%,02,13th,"66,496",California 
incumbent,Democratic,Swalwell,69.3%,02,14th,"137,612",California 
/,Republican,Hayden,30.7%,02,14th,"60,852",California 
incumbent,Democratic,Mullin,55.5%,02,15th,"108,077",California 
/,Democratic,Canepa,44.5%,02,15th,"86,797",California 
incumbent,Democratic,Eshoo,57.8%,02,16th,"139,235",California 
/,Democratic,Kumar,42.2%,02,16th,"101,772",California 
incumbent,Democratic,Khanna,70.9%,02,17th,"127,853",California 
/,Republican,Tandon,29.1%,02,17th,"52,400",California 
incumbent,Democratic,Lofgren,65.9%,02,18th,"99,776",California 
/,Republican,Hernandez,34.1%,02,18th,"51,737",California 
incumbent,Democratic,Panetta,68.7%,02,19th,"194,494",California 
/,Republican,Gorman,31.3%,02,19th,"88,816",California 
incumbent,Republican,McCarthy,67.2%,02,20th,"153,844",California 
/,Democratic,Wood,32.8%,02,20th,"74,932",California 
incumbent,Democratic,Costa,54.2%,02,21st,"68,074",California 
/,Republican,Maher,45.8%,02,21st,"57,573",California 
incumbent,Republican,Valadao,51.5%,02,22nd,"52,993",California 
/,Democratic,Salas,48.5%,02,22nd,"49,859",California 
incumbent,Republican,Obernolte,61.0%,02,23rd,"103,197",California 
/,Democratic,Marshall,39.0%,02,23rd,"65,908",California 
incumbent,Democratic,Carbajal,60.6%,02,24th,"159,019",California 
/,Republican,Allen,39.4%,02,24th,"103,533",California 
incumbent,Democratic,Ruiz,57.4%,02,25th,"87,641",California 
/,Republican,Hawkins,42.6%,02,25th,"65,101",California 
incumbent,Democratic,Brownley,54.5%,02,26th,"134,575",California 
/,Republican,Jacobs,45.5%,02,26th,"112,214",California 
incumbent,Republican,Garcia,53.2%,02,27th,"104,624",California 
/,Democratic,Smith,46.8%,02,27th,"91,892",California 
incumbent,Democratic,Chu,66.2%,02,28th,"150,062",California 
/,Republican,Hallman,33.8%,02,28th,"76,495",California 
incumbent,Democratic,Cardenas,58.5%,02,29th,"69,915",California 
/,Democratic,Duenas,41.5%,02,29th,"49,520",California 
incumbent,Democratic,Schiff,71.1%,02,30th,"150,100",California 
/,Democratic,Pudlo,28.9%,02,30th,"60,968",California 
incumbent,Democratic,Napolitano,59.5%,02,31st,"91,472",California 
/,Republican,Martinez,40.5%,02,31st,"62,153",California 
incumbent,Democratic,Sherman,69.2%,02,32nd,"167,411",California 
/,Republican,Volotzky,30.8%,02,32nd,"74,618",California 
incumbent,Democratic,Aguilar,57.7%,02,33rd,"76,588",California 
/,Republican,Porter,42.3%,02,33rd,"56,119",California 
incumbent,Democratic,Gomez,51.2%,02,34th,"62,244",California 
/,Democratic,Kim,48.8%,02,34th,"59,223",California 
incumbent,Democratic,Torres,57.4%,02,35th,"75,121",California 
/,Republican,Cargile,42.6%,02,35th,"55,832",California 
incumbent,Democratic,Lieu,69.8%,02,36th,"194,299",California 
/,Republican,Collins,30.2%,02,36th,"84,264",California 
incumbent,Democratic,Kamlager,64.0%,02,37th,"84,338",California 
/,Democratic,Perry,36.0%,02,37th,"47,542",California 
incumbent,Democratic,Sanchez,58.1%,02,38th,"101,260",California 
/,Republican,Ching,41.9%,02,38th,"73,051",California 
incumbent,Democratic,Takano,57.7%,02,39th,"75,896",California 
/,Republican,Smith,42.3%,02,39th,"55,701",California 
incumbent,Republican,Kim,56.8%,02,40th,"161,589",California 
/,Democratic,Mahmood,43.2%,02,40th,"122,722",California 
incumbent,Republican,Calvert,52.3%,02,41st,"123,869",California 
/,Democratic,Rollins,47.7%,02,41st,"112,769",California 
incumbent,Democratic,Garcia,68.4%,02,42nd,"99,217",California 
/,Republican,Briscoe,31.6%,02,42nd,"45,903",California 
incumbent,Democratic,Waters,77.3%,02,43rd,"95,462",California 
/,Republican,Navarro,22.7%,02,43rd,"27,985",California 
incumbent,Democratic,Barragan,72.2%,02,44th,"100,160",California 
/,Republican,Jones,27.8%,02,44th,"38,554",California 
incumbent,Republican,Steel,52.4%,02,45th,"113,960",California 
/,Democratic,Chen,47.6%,02,45th,"103,466",California 
incumbent,Democratic,Correa,61.8%,02,46th,"78,041",California 
/,Republican,Gonzales,38.2%,02,46th,"48,257",California 
incumbent,Democratic,Porter,51.7%,02,47th,"137,374",California 
/,Republican,Baugh,48.3%,02,47th,"128,261",California 
incumbent,Republican,Issa,60.4%,02,48th,"155,171",California 
/,Democratic,Houlahan,39.6%,02,48th,"101,900",California 
incumbent,Democratic,Levin,52.6%,02,49th,"153,541",California 
/,Republican,Maryott,47.4%,02,49th,"138,194",California 
incumbent,Democratic,Peters,62.8%,02,50th,"168,816",California 
/,Republican,Gustafson,37.2%,02,50th,"99,819",California 
incumbent,Democratic,Jacobs,61.9%,02,51st,"144,186",California 
/,Republican,Caplan,38.1%,02,51st,"88,886",California 
incumbent,Democratic,Vargas,66.7%,02,52nd,"100,686",California 
/,Republican,Geffeney,33.3%,02,52nd,"50,330",California 
incumbent,Democratic,DeGette,80.3%,CO,1st,"226,929",Colorado 
/,Republican,Qualteri,17.5%,CO,1st,"49,530",Colorado 
/,Libertarian Party,Kittleson,2.2%,CO,1st,"6,157",Colorado 
incumbent,Democratic,Neguse,70.0%,CO,2nd,"244,107",Colorado 
/,Republican,Dawson,28.0%,CO,2nd,"97,700",Colorado 
/,/,Yurash,0.8%,CO,2nd,"2,876",Colorado 
/,/,Nation,0.6%,CO,2nd,"2,188",Colorado 
/,/,Wolf,0.6%,CO,2nd,"1,968",Colorado 
incumbent,Republican,Boebert,50.1%,CO,3rd,"163,839",Colorado 
/,Democratic,Frisch,49.9%,CO,3rd,"163,293",Colorado 
incumbent,Republican,Buck,60.9%,CO,4th,"216,024",Colorado 
/,Democratic,McCorkle,36.6%,CO,4th,"129,619",Colorado 
/,/,McGonigal,2.5%,CO,4th,"8,870",Colorado 
incumbent,Republican,Lamborn,56.0%,CO,5th,"155,528",Colorado 
/,Democratic,Torres,40.3%,CO,5th,"111,978",Colorado 
/,Libertarian Party,Flanagan,2.5%,CO,5th,"7,079",Colorado 
/,/,Mitchell,1.2%,CO,5th,"3,370",Colorado 
incumbent,Democratic,Crow,60.6%,CO,6th,"170,140",Colorado 
/,Republican,Monahan,37.4%,CO,6th,"105,084",Colorado 
/,Libertarian Party,Mulder,2.0%,CO,6th,"5,531",Colorado 
incumbent,Democratic,Pettersen,56.4%,CO,7th,"204,984",Colorado 
/,Republican,Aadland,41.4%,CO,7th,"150,510",Colorado 
/,Libertarian Party,Klopf,1.7%,CO,7th,"6,187",Colorado 
/,/,Milton,0.5%,CO,7th,"1,828",Colorado 
incumbent,Democratic,Caraveo,48.4%,CO,8th,"114,377",Colorado 
/,Republican,Kirkmeyer,47.7%,CO,8th,"112,745",Colorado 
/,Libertarian Party,Ward,3.9%,CO,8th,"9,280",Colorado 
incumbent,Democratic,Larson,61.4%,CT,1st,"150,355",Connecticut 
/,Republican,Lazor,37.4%,CT,1st,"91,536",Connecticut 
/,Green Party,Sanders,1.2%,CT,1st,"2,848",Connecticut 
incumbent,Democratic,Courtney,58.2%,CT,2nd,"165,947",Connecticut 
/,Republican,France,40.2%,CT,2nd,"114,504",Connecticut 
/,Green Party,Blacker,0.9%,CT,2nd,"2,437",Connecticut 
/,Libertarian Party,Hall,0.8%,CT,2nd,"2,140",Connecticut 
incumbent,Democratic,DeLauro,56.8%,CT,3rd,"137,924",Connecticut 
/,Republican,DeNardis,40.7%,CT,3rd,"98,704",Connecticut 
/,Ind.,Chai,1.7%,CT,3rd,"4,056",Connecticut 
/,Green Party,Paglino,0.8%,CT,3rd,"1,967",Connecticut 
incumbent,Democratic,Himes,59.5%,CT,4th,"140,246",Connecticut 
/,Republican,Stevenson,40.5%,CT,4th,"95,518",Connecticut 
incumbent,Democratic,Hayes,50.4%,CT,5th,"127,795",Connecticut 
/,Republican,Logan,49.6%,CT,5th,"125,834",Connecticut 
incumbent,Democratic,Lisa Rochester,55.5%,/,/,"178,416",Delaware 
/,Republican,Lee Murphy,43.0%,/,/,"138,201",Delaware 
/,Libertarian Party,Cody McNutt,1.0%,/,/,"3,074",Delaware 
/,/,David Rogers,0.6%,/,/,"1,958",Delaware 
incumbent,Republican,Gaetz,67.9%,01,1st,"197,320",Florida 
/,Democratic,Jones,32.1%,01,1st,"93,416",Florida 
incumbent,Republican,Dunn,59.8%,01,2nd,"180,218",Florida 
/,Democratic,Lawson,40.2%,01,2nd,"121,120",Florida 
incumbent,Republican,Cammack,62.5%,01,3rd,"178,090",Florida 
/,Democratic,Hawk,36.3%,01,3rd,"103,342",Florida 
/,/,Brooks,1.2%,01,3rd,"3,410",Florida 
incumbent,Republican,Bean,60.5%,01,4th,"165,678",Florida 
/,Democratic,Holloway,39.5%,01,4th,"108,358",Florida 
incumbent,Republican,Rutherford,0,01,5th,0,Florida 
incumbent,Republican,Waltz,75.3%,01,6th,"226,490",Florida 
/,Libertarian Party,Hannoush,24.7%,01,6th,"74,173",Florida 
incumbent,Republican,Mills,58.5%,01,7th,"177,957",Florida 
/,Democratic,Green,41.5%,01,7th,"126,052",Florida 
incumbent,Republican,Posey,64.9%,01,8th,"222,119",Florida 
/,Democratic,Terry,35.1%,01,8th,"120,050",Florida 
incumbent,Democratic,Soto,53.6%,01,9th,"108,522",Florida 
/,Republican,Moore,46.4%,01,9th,"93,815",Florida 
incumbent,Democratic,Frost,59.0%,01,10th,"117,929",Florida 
/,Republican,Wimbish,39.4%,01,10th,"78,838",Florida 
/,/,Holic,1.0%,01,10th,"2,001",Florida 
/,/,Jain,0.6%,01,10th,"1,110",Florida 
incumbent,Republican,Webster,63.1%,01,11th,"205,989",Florida 
/,Democratic,Munns,35.4%,01,11th,"115,629",Florida 
/,/,Porter,1.5%,01,11th,"4,967",Florida 
incumbent,Republican,Bilirakis,70.4%,01,12th,"226,579",Florida 
/,Democratic,Walker,29.6%,01,12th,"95,368",Florida 
incumbent,Republican,Luna,53.1%,01,13th,"181,473",Florida 
/,Democratic,Lynn,45.1%,01,13th,"153,839",Florida 
/,Libertarian Party,Craft,1.8%,01,13th,"6,158",Florida 
incumbent,Democratic,Castor,56.9%,01,14th,"149,689",Florida 
/,Republican,Judge,43.1%,01,14th,"113,408",Florida 
incumbent,Republican,Lee,58.5%,01,15th,"145,211",Florida 
/,Democratic,Cohn,41.5%,01,15th,"102,816",Florida 
incumbent,Republican,Buchanan,62.2%,01,16th,"189,738",Florida 
/,Democratic,Schneider,37.8%,01,16th,"115,537",Florida 
incumbent,Republican,Steube,63.8%,01,17th,"222,433",Florida 
/,Democratic,Kale,35.5%,01,17th,"123,739",Florida 
/,/,Murray,0.6%,01,17th,"2,222",Florida 
incumbent,Republican,Franklin,74.7%,01,18th,"167,393",Florida 
/,/,Hayden,25.3%,01,18th,"56,622",Florida 
incumbent,Republican,Donalds,68.0%,01,19th,"213,032",Florida 
/,Democratic,Banyai,32.0%,01,19th,"100,198",Florida 
incumbent,Democratic,Cherfilus-McCormick,72.3%,01,20th,"136,192",Florida 
/,Republican,Clark,27.7%,01,20th,"52,150",Florida 
incumbent,Republican,Mast,63.5%,01,21st,"208,592",Florida 
/,Democratic,Balderramos Robinson,36.5%,01,21st,"119,859",Florida 
incumbent,Democratic,Frankel,55.1%,01,22nd,"149,977",Florida 
/,Republican,Franzese,44.9%,01,22nd,"122,187",Florida 
incumbent,Democratic,Moskowitz,51.6%,01,23rd,"143,897",Florida 
/,Republican,Budd,46.8%,01,23rd,"130,669",Florida 
/,/,Scott,1.1%,01,23rd,"3,079",Florida 
/,/,Napier,0.5%,01,23rd,"1,338",Florida 
incumbent,Democratic,Wilson,71.8%,01,24th,"133,416",Florida 
/,Republican,Navarro,28.2%,01,24th,"52,442",Florida 
incumbent,Democratic,Wasserman Schultz,55.1%,01,25th,"129,085",Florida 
/,Republican,Spalding,44.9%,01,25th,"105,227",Florida 
incumbent,Republican,Diaz-Balart,70.9%,01,26th,"143,226",Florida 
/,Democratic,Olivo,29.1%,01,26th,"58,838",Florida 
incumbent,Republican,Salazar,57.3%,01,27th,"136,031",Florida 
/,Democratic,Taddeo,42.7%,01,27th,"101,370",Florida 
incumbent,Republican,Gimenez,63.7%,01,28th,"134,456",Florida 
/,Democratic,Asencio,36.3%,01,28th,"76,647",Florida 
incumbent,Republican,Carter,59.2%,01,1st,"156,016",Georgia 
/,Democratic,Herring,40.8%,01,1st,"107,662",Georgia 
incumbent,Democratic,Bishop,55.0%,01,2nd,"132,501",Georgia 
/,Republican,West,45.0%,01,2nd,"108,579",Georgia 
incumbent,Republican,Ferguson,68.8%,01,3rd,"213,461",Georgia 
/,Democratic,Almonord,31.2%,01,3rd,"96,799",Georgia 
incumbent,Democratic,Johnson,78.5%,01,4th,"216,247",Georgia 
/,Republican,Chavez,21.5%,01,4th,"59,272",Georgia 
incumbent,Democratic,Williams,82.5%,01,5th,"243,471",Georgia 
/,Republican,Zimm,17.5%,01,5th,"51,754",Georgia 
incumbent,Republican,McCormick,62.2%,01,6th,"206,783",Georgia 
/,Democratic,Christian,37.8%,01,6th,"125,552",Georgia 
incumbent,Democratic,McBath,61.0%,01,7th,"142,852",Georgia 
/,Republican,Gonsalves,39.0%,01,7th,"91,195",Georgia 
incumbent,Republican,Scott,68.6%,01,8th,"178,601",Georgia 
/,Democratic,Butler,31.4%,01,8th,"81,773",Georgia 
incumbent,Republican,Clyde,72.4%,01,9th,"212,672",Georgia 
/,Democratic,Ford,27.6%,01,9th,"81,206",Georgia 
incumbent,Republican,Collins,64.5%,01,10th,"198,413",Georgia 
/,Democratic,Johnson-Green,35.5%,01,10th,"109,075",Georgia 
incumbent,Republican,Loudermilk,62.6%,01,11th,"190,035",Georgia 
/,Democratic,Daza,37.4%,01,11th,"113,535",Georgia 
incumbent,Republican,Allen,59.6%,01,12th,"157,951",Georgia 
/,Democratic,Johnson,40.4%,01,12th,"107,089",Georgia 
incumbent,Democratic,Scott,81.8%,01,13th,"216,150",Georgia 
/,Republican,Gonzales,18.2%,01,13th,"48,209",Georgia 
incumbent,Republican,Greene,65.9%,01,14th,"170,003",Georgia 
/,Democratic,Flowers,34.1%,01,14th,"88,074",Georgia 
incumbent,Democratic,Case,73.7%,HI,1st,"142,742",Hawaii 
/,Republican,Kress,26.3%,HI,1st,"50,833",Hawaii 
incumbent,Democratic,Tokuda,62.3%,HI,2nd,"127,995",Hawaii 
/,Republican,Akana,35.2%,HI,2nd,"72,455",Hawaii 
/,Libertarian Party,Tippens,2.5%,HI,2nd,"5,108",Hawaii 
incumbent,Republican,Fulcher,71.3%,ID,1st,"222,891",Idaho 
/,Democratic,Peterson,26.3%,ID,1st,"82,261",Idaho 
/,Libertarian Party,Drake,2.3%,ID,1st,"7,274",Idaho 
incumbent,Republican,Simpson,63.6%,ID,2nd,"172,456",Idaho 
/,Democratic,Norman,36.4%,ID,2nd,"98,635",Idaho 
incumbent,Democratic,Jackson,66.3%,01,1st,"151,468",Illinois 
/,Republican,Carlson,33.7%,01,1st,"77,146",Illinois 
incumbent,Democratic,Kelly,66.8%,01,2nd,"137,854",Illinois 
/,Republican,Lynch,33.2%,01,2nd,"68,369",Illinois 
incumbent,Democratic,Ramirez,67.0%,01,3rd,"111,799",Illinois 
/,Republican,Burau,33.0%,01,3rd,"55,063",Illinois 
incumbent,Democratic,Garcia,68.0%,01,4th,"87,987",Illinois 
/,Republican,Falakos,28.6%,01,4th,"36,960",Illinois 
/,/,Hershey,3.4%,01,4th,"4,435",Illinois 
incumbent,Democratic,Quigley,67.9%,01,5th,"172,040",Illinois 
/,Republican,Hanson,30.5%,01,5th,"77,185",Illinois 
/,Ind.,Cruz,1.6%,01,5th,"4,135",Illinois 
incumbent,Democratic,Casten,54.1%,01,6th,"148,279",Illinois 
/,Republican,Pekau,45.9%,01,6th,"125,625",Illinois 
incumbent,Democratic,Davis,0,01,7th,0,Illinois 
incumbent,Democratic,Krishnamoorthi,56.9%,01,8th,"117,475",Illinois 
/,Republican,Dargis,43.1%,01,8th,"89,151",Illinois 
incumbent,Democratic,Schakowsky,70.9%,01,9th,"169,009",Illinois 
/,Republican,Rice,29.1%,01,9th,"69,324",Illinois 
incumbent,Democratic,Schneider,62.3%,01,10th,"144,489",Illinois 
/,Republican,Severino,37.7%,01,10th,"87,528",Illinois 
incumbent,Democratic,Foster,56.1%,01,11th,"145,303",Illinois 
/,Republican,Lauf,43.9%,01,11th,"113,650",Illinois 
incumbent,Republican,Bost,75.4%,01,12th,"213,438",Illinois 
/,Democratic,Markel,24.6%,01,12th,"69,581",Illinois 
incumbent,Democratic,Budzinski,55.9%,01,13th,"136,123",Illinois 
/,Republican,Deering,44.1%,01,13th,"107,357",Illinois 
incumbent,Democratic,Underwood,54.1%,01,14th,"127,458",Illinois 
/,Republican,Gryder,45.9%,01,14th,"108,045",Illinois 
incumbent,Republican,Miller,71.4%,01,15th,"209,191",Illinois 
/,Democratic,Lange,28.6%,01,15th,"83,765",Illinois 
incumbent,Republican,LaHood,66.6%,01,16th,"196,009",Illinois 
/,Democratic,Haderlein,33.4%,01,16th,"98,188",Illinois 
incumbent,Democratic,Sorensen,51.8%,01,17th,"119,601",Illinois 
/,Republican,King,48.2%,01,17th,"111,457",Illinois 
incumbent,Democratic,Mrvan,52.8%,02,1st,"112,539",Indiana 
/,Republican,Green,47.2%,02,1st,"100,486",Indiana 
incumbent,Republican,Yakym,64.6%,02,2nd,"125,222",Indiana 
/,Democratic,Steury,32.4%,02,2nd,"62,726",Indiana 
/,Libertarian Party,Henry,3.0%,02,2nd,"5,782",Indiana 
